id,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
45040666,Entire home/apt,3,1,1,1,$63.00 ,2,1125,2,2,1125,1125,2,1125,,t,4,34,64,339,2020-10-25,0,0,0,,,,,,,,,,STR-OPLI-20-001018,t,2,2,0,0,
45055733,Entire home/apt,2,1,1,1,$50.00 ,2,29,2,2,1125,1125,2,1125,,t,27,57,87,87,2020-10-25,7,7,2,2020-09-05,2020-10-22,89,9,9,10,10,10,9,STR-OPLI-19-001366,f,1,1,0,0,4.12
45055850,Entire home/apt,2,2,1,1,$175.00 ,14,90,14,14,90,90,14,90,,t,28,58,65,65,2020-10-25,0,0,0,,,,,,,,,,STR-OPLI-19-000524,f,2,2,0,0,
45057496,Entire home/apt,3,1,1,2,$100.00 ,1,30,1,2,1125,1125,1,1125,,t,26,56,86,354,2020-10-25,4,4,1,2020-08-23,2020-10-10,95,10,10,10,10,9,10,Exempt,t,7,7,0,0,1.88
45057603,Entire home/apt,2,1,1,1,$80.00 ,1,30,1,2,1125,1125,1,1125,,t,26,56,85,359,2020-10-25,6,6,1,2020-08-29,2020-09-27,87,9,10,9,9,10,9,Exempt,t,7,7,0,0,3.1
45057769,Entire home/apt,2,1,,1,$90.00 ,1,30,1,2,1125,1125,1,1125,,t,18,48,78,352,2020-10-25,0,0,0,,,,,,,,,,Exempt,t,7,7,0,0,
45057913,Entire home/apt,2,1,1,1,$90.00 ,1,30,1,2,1125,1125,1,1125,,t,26,56,86,360,2020-10-25,2,2,1,2020-09-24,2020-09-27,100,10,10,10,10,9,10,Exempt,t,7,7,0,0,1.87
45058258,Entire home/apt,3,1,1,1,$115.00 ,1,1125,1,2,1125,1125,1,1125,,t,29,59,89,363,2020-10-25,5,5,1,2020-08-24,2020-10-03,100,9,10,10,10,10,10,STR-OPLI-20-000238,t,8,8,0,0,2.38
45059108,Entire home/apt,2,1,2,1,$52.00 ,7,13,7,7,13,13,7,13,,t,0,0,0,0,2020-10-25,0,0,0,,,,,,,,,,STR-OPLI-19-002891,f,2,2,0,0,
45067848,Entire home/apt,8,3.5,4,4,$364.00 ,30,60,30,30,1125,1125,30,1125,,t,0,0,6,281,2020-10-25,0,0,0,,,,,,,,,,,t,1,1,0,0,
