순번,하수처리시설명,수질등록일자,날씨,기온(℃),수온,유입수BOD(mg/L),유입수COD(mg/L),유입수SS(mg/L),유입수TN(mg/L),유입수TP(mg/L),유입수대장균수(개/ml),유입량(m3/d),방류수BOD(mg/L),방류수COD(mg/L),방류수SS(mg/L),방류수TN(mg/L),방류수TP(mg/L),방류수대장균수(개/ml),방류량(m3/d)
330,능곡하수처리시설,2019-02-04,흐림,2,14.3,391.2,125.2,197.5,93.751,9.617,"9,900","4,151",3.0,11.1,5.8,8.776,0.916,40,"3,936"
329,능곡하수처리시설,2019-02-05,흐림,9,14.6,327.0,126.2,230.0,74.915,5.728,"22,000","3,738",6.7,10.8,4.6,6.103,0.945,110,"3,305"
328,능곡하수처리시설,2019-02-06,흐림,10,15.3,258.0,127.0,217.5,48.472,4.802,"29,700","4,182",5.0,10.4,5.4,7.146,0.711,110,"3,761"
327,능곡하수처리시설,2019-02-07,눈,5,15.8,262.2,129.4,225.0,78.889,8.383,"5,500","4,510",5.4,11.3,5.4,7.516,1.048,40,"4,020"
326,능곡하수처리시설,2019-02-08,맑음,-4,15.4,246.6,128.2,167.5,70.120,7.793,"36,300","4,258",4.0,11.6,7.2,8.094,1.051,150,"3,856"
325,능곡하수처리시설,2019-02-09,맑음,-3,16.3,252.6,123.4,235.0,48.837,5.996,"23,100","4,332",5.2,13.0,5.0,6.967,1.034,70,"4,255"
324,능곡하수처리시설,2019-02-10,맑음,-3,15.1,235.2,144.0,135.0,56.035,4.967,"44,000","4,475",5.1,12.9,8.4,8.038,0.493,180,"4,068"
323,능곡하수처리시설,2019-02-11,맑음,1,15.8,269.4,143.4,270.0,77.004,7.948,"55,000","4,394",4.1,11.9,4.6,6.216,1.064,200,"4,094"
322,능곡하수처리시설,2019-02-12,눈,2,15.9,283.8,122.2,230.0,73.297,8.450,"101,200","4,381",7.8,10.4,4.2,4.587,1.150,200,"3,829"
321,능곡하수처리시설,2019-02-13,맑음,1,14.3,274.5,152.3,137.5,58.192,8.802,"132,000","4,297",8.8,10.7,5.8,3.669,1.151,90,"3,638"
320,능곡하수처리시설,2019-02-14,맑음,3,15.8,228.0,129.6,240.0,64.283,7.961,"138,600","4,506",5.9,12.2,4.0,4.180,1.115,180,"3,958"
319,능곡하수처리시설,2019-02-15,눈,1,14.6,280.5,123.2,380.0,46.521,6.507,"176,000","4,485",5.4,12.0,6.6,4.300,0.996,180,"4,226"
318,능곡하수처리시설,2019-02-16,눈,0,14.3,189.8,84.5,130.0,47.891,4.388,"143,000","4,495",5.7,12.1,8.0,8.555,0.611,180,"4,072"
317,능곡하수처리시설,2019-02-17,맑음,3,14.4,255.0,88.1,185.0,49.683,3.857,"55,000","4,276",6.2,11.7,8.8,10.987,0.594,150,"4,055"
316,능곡하수처리시설,2019-02-18,맑음,4,15.8,236.4,130.4,217.5,98.203,7.994,"22,000","4,278",6.2,12.1,6.0,7.231,1.088,180,"3,319"
315,능곡하수처리시설,2019-02-19,눈,4,15.5,307.5,112.1,220.0,85.544,7.947,"27,500","4,504",7.0,10.1,6.0,5.511,0.957,150,"4,306"
314,능곡하수처리시설,2019-02-20,흐림,5,15.4,302.4,123.4,247.5,68.658,7.521,"15,400","4,038",6.4,10.8,5.0,4.010,1.069,40,"3,406"
313,능곡하수처리시설,2019-02-21,흐림,6,15.4,212.4,111.5,217.5,66.416,7.521,"55,000","4,260",6.0,10.5,4.4,3.776,1.092,150,"3,823"
312,능곡하수처리시설,2019-02-22,흐림,8,15.3,360.6,107.1,227.5,64.519,7.879,"88,000","4,514",6.6,9.1,5.6,4.135,1.074,110,"4,003"
311,능곡하수처리시설,2019-02-23,흐림,13,15.3,285.6,112.3,255.0,87.204,8.688,"92,400","4,574",6.2,14.1,5.8,4.626,0.453,330,"4,122"
310,능곡하수처리시설,2019-02-24,흐림,11,16.6,387.6,92.1,345.0,41.968,4.235,"126,500","4,231",7.4,13.2,6.3,4.626,1.058,200,"3,537"
309,능곡하수처리시설,2019-02-25,흐림,9,16,224.4,110.3,375.0,58.588,7.093,"154,000","4,686",6.8,12.7,4.2,4.641,1.121,110,"4,267"
308,능곡하수처리시설,2019-02-26,맑음,10,15.4,225.6,123.0,187.5,74.579,7.680,"44,000","4,327",7.0,10.5,5.8,4.354,1.149,150,"3,822"
307,능곡하수처리시설,2019-02-27,흐림,11,15.6,384.6,124.2,290.0,81.813,7.793,"132,000","4,461",7.3,12.7,7.4,3.540,0.500,110,"4,032"
306,능곡하수처리시설,2019-02-28,흐림,11,15.4,319.2,101.9,152.5,79.207,6.947,"66,000","4,374",6.6,11.0,4.8,5.327,1.142,110,"3,968"
305,능곡하수처리시설,2019-03-01,흐림,10,15.4,228.0,120.2,185.0,61.450,9.550,"11,000","4,138",5.3,12.2,5.9,5.908,0.537,310,"3,496"
304,능곡하수처리시설,2019-03-02,흐림,12,16,289.8,135.4,122.5,56.089,6.705,"15,800","4,203",5.4,10.8,5.2,4.689,1.003,220,"3,578"
303,능곡하수처리시설,2019-03-03,흐림,14,15.3,220.8,132.6,247.5,67.214,8.094,"15,800","4,739",3.3,10.4,5.0,4.819,1.119,20,"4,302"
302,능곡하수처리시설,2019-03-04,흐림,13,16.2,213.6,120.2,260.0,58.940,7.493,"55,000","4,458",4.5,15.1,6.3,5.883,1.781,180,"3,744"
301,능곡하수처리시설,2019-03-05,흐림,11,16,378.0,116.3,267.5,61.540,7.745,"93,500","6,255",7.1,10.8,8.6,4.215,0.770,440,"4,064"
300,능곡하수처리시설,2019-03-06,비,11,16.3,300.6,130.8,417.5,60.383,8.345,"121,000","4,915",6.1,11.1,7.2,1.930,1.746,200,"4,496"
299,능곡하수처리시설,2019-03-07,흐림,11,16.4,258.6,107.3,135.0,64.583,6.459,"38,500","4,787",5.0,9.6,4.2,1.965,1.128,350,"4,128"
298,능곡하수처리시설,2019-03-08,흐림,11,17,274.2,125.2,152.5,44.875,7.272,"33,000","5,194",3.0,12.0,4.0,1.663,0.472,110,"4,232"
297,능곡하수처리시설,2019-03-09,흐림,12,15.9,121.2,121.0,130.0,43.169,4.317,"44,000","3,926",4.5,10.0,6.0,2.786,0.496,20,"3,613"
